Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Candidate/Candidat,Party,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité,Winner
Quebec/Québec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Bernard Généreux Conservative/Conservateur,Conservative,"La Pocatière, Que./ Qc",Entrepreneur/Entrepreneur,14274,29,272,0.6,Conservative
Quebec/Québec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Marie-Josée Normand Liberal/Libéral,Liberal,"Saint-Aubert, Que./ Qc",Financial Security Advisor/Conseillère en sécurité financière,14002,28.4,,,Conservative
Quebec/Québec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,François Lapointe ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Saint-Jean-Port-Joli, Que./ Qc",Parliamentarian/Parlementaire,11918,24.2,,,Conservative
Quebec/Québec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Louis Gagnon Bloc Québécois/Bloc Québécois,Bloc,"Rivière-du-Loup, Que./ Qc",Teacher/Enseignant,7939,16.1,,,Conservative
Quebec/Québec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Chantal Breton Green Party/Parti Vert,Green,"Varennes, Que./ Qc",Buildings Manager/Gestionnaire d'immeubles,823,1.7,,,Conservative
Quebec/Québec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Bien Gras Gagné Rhinoceros/Rhinocéros,,"Kamouraska, Que./ Qc",Musician/Musicien,287,.6,,,Conservative
Quebec/Québec,Mount Royal/Mont-Royal,24052,Anthony Housefather Liberal/Libéral,Liberal,"Côte-Saint-Luc, Que./ Qc",Attorney/Mayor/Avocat-Maire,24187,50.3,5986,12.5,Liberal
Quebec/Québec,Mount Royal/Mont-Royal,24052,Robert Libman ** Conservative/Conservateur,Conservative,"Côte-Saint-Luc, Que./ Qc",Architect/Architecte,18201,37.9,,,Liberal
Quebec/Québec,Mount Royal/Mont-Royal,24052,Mario Jacinto Rimbao NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Brossard, Que./ Qc",Fleet Operator/Exploitant de la flotte,3884,8.1,,,Liberal
Quebec/Québec,Mount Royal/Mont-Royal,24052,Jade Bossé Bélanger Bloc Québécois/Bloc Québécois,Bloc,"Saint-Jean-sur-Richelieu, Que./ Qc",Junior Engineer/Ingénieure junior,908,1.9,,,Liberal
Quebec/Québec,Mount Royal/Mont-Royal,24052,Timothy Landry Green Party/Parti Vert,Green,"Saint-Laurent, Que./ Qc",Financial Security Advisor/Conseiller en sécurité financière,747,1.6,,,Liberal
Quebec/Québec,Mount Royal/Mont-Royal,24052,Diane Johnston Marxist-Leninist/Marxiste-Léniniste,,"Montréal, Que./ Qc",Office Clerk/Commis de bureau,124,.3,,,Liberal
Quebec/Québec,Notre-Dame-de-Grâce--Westmount,24053,Marc Garneau ** Liberal/Libéral,Liberal,"Westmount, Que./ Qc",Parliamentarian/Parlementaire,29755,57.7,18526,35.9,Liberal
Quebec/Québec,Notre-Dame-de-Grâce--Westmount,24053,James Hughes NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Montréal, Que./ Qc",Executive Manager/Gestionnaire exécutif,11229,21.8,,,Liberal
Quebec/Québec,Notre-Dame-de-Grâce--Westmount,24053,Richard Sagala Conservative/Conservateur,Conservative,"Montréal, Que./ Qc",Enseignant/Teacher,7414,14.4,,,Liberal
Quebec/Québec,Notre-Dame-de-Grâce--Westmount,24053,Melissa Kate Wheeler Green Party/Parti Vert,Green,"Montréal, Que./ Qc",Fundraiser/Collectrice de fonds,1581,3.1,,,Liberal
Quebec/Québec,Notre-Dame-de-Grâce--Westmount,24053,Simon Quesnel Bloc Québécois/Bloc Québécois,Bloc,"Longueuil, Que./ Qc",Salesperson/Vendeur,1282,2.5,,,Liberal
Quebec/Québec,Notre-Dame-de-Grâce--Westmount,24053,Rachel Hoffman Marxist-Leninist/Marxiste-Léniniste,,"Montréal, Que./ Qc",Graphic designer/Concepteur graphique,181,.4,,,Liberal
Quebec/Québec,Notre-Dame-de-Grâce--Westmount,24053,Lisa Julie Cahn Independent/Indépendant,,"Montréal, Que./ Qc",Marketing Consultant/Consultante marketing,151,.3,,,Liberal
Quebec/Québec,Outremont,24054,Tom Mulcair ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Beaconsfield, Que./ Qc",Parliamentarian/Parlementaire,19242,44.1,4645,10.6,NDP
Quebec/Québec,Outremont,24054,Rachel Bendayan Liberal/Libéral,Liberal,"Montréal, Que./ Qc",Lawyer/Avocate,14597,33.5,,,NDP
Quebec/Québec,Outremont,24054,Rodolphe Husny Conservative/Conservateur,Conservative,"Ottawa, Ont.",Accountant/Comptable,4159,9.5,,,NDP
Quebec/Québec,Outremont,24054,Roger Galland Barou Bloc Québécois/Bloc Québécois,Bloc,"Gore, Que./ Qc",Self-employed Health and Safety Worker/Travailleur autonome en santé et sécurité,3668,8.4,,,NDP
Quebec/Québec,Outremont,24054,Amara Diallo Green Party/Parti Vert,Green,"Montréal, Que./ Qc",Biologist/Biologiste,1575,3.6,,,NDP
Quebec/Québec,Outremont,24054,Francis Pouliot Libertarian/Libertarien,,"Montréal, Que./ Qc",Self Employed/E-Payments/Entrepreneur/Paiements Digitaux,216,.5,,,NDP
Quebec/Québec,Outremont,24054,Adrien Welsh Communist/Communiste,,"Montréal, Que./ Qc",Student/Étudiant,162,.4,,,NDP
Quebec/Québec,Papineau,24055,Justin Trudeau ** Liberal/Libéral,Liberal,"Ottawa, Ont.",Parliamentarian/Parlementaire,26391,52,13259,26.1,Liberal
Quebec/Québec,Papineau,24055,Anne Lagacé Dowson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Montréal, Que./ Qc",Journalist/Journaliste,13132,25.9,,,Liberal
Quebec/Québec,Papineau,24055,Maxime Claveau Bloc Québécois/Bloc Québécois,Bloc,"Montréal, Que./ Qc",Teacher/Enseignant,6182,12.2,,,Liberal
Quebec/Québec,Papineau,24055,Yvon Vadnais Conservative/Conservateur,Conservative,"Montréal, Que./ Qc",Manager/Gestionnaire,2390,4.7,,,Liberal
Quebec/Québec,Papineau,24055,Danny Polifroni Green Party/Parti Vert,Green,"Montréal, Que./ Qc",Community Worker/Travailleur communautaire,1443,2.8,,,Liberal
Quebec/Québec,Papineau,24055,Chris Lloyd Independent/Indépendant,,"Montréal, Que./ Qc",Artist/Artiste,505,1,,,Liberal
Quebec/Québec,Papineau,24055,Tommy Gaudet Rhinoceros/Rhinocéros,,"Montréal, Que./ Qc",Douteulogue/Douteulogue,323,.6,,,Liberal
Quebec/Québec,Papineau,24055,Kim Waldron Independent/Indépendant,,"Montréal, Que./ Qc",Artist/Artiste,159,.3,,,Liberal
Quebec/Québec,Papineau,24055,Peter Macrisopoulos Marxist-Leninist/Marxiste-Léniniste,,"Montréal, Que./ Qc",Retired/Retraité,142,.3,,,Liberal
Quebec/Québec,Papineau,24055,Beverly Bernardo No Affiliation/Aucune appartenance,,"Montréal, Que./ Qc",Commercial Retail Worker/Travailleuse commerce de détail,103,.2,,,Liberal
Quebec/Québec,Pierre-Boucher--Les Patriotes--Verchères,24014,Xavier Barsalou-Duval Bloc Québécois/Bloc Québécois,Bloc,"Boucherville, Que./ Qc",Accounting Teacher/Enseignant en comptabilité,17007,28.6,213,0.4,Bloc
Quebec/Québec,Pierre-Boucher--Les Patriotes--Verchères,24014,Lucie Gagnon Liberal/Libéral,Liberal,"Saint-Amable, Que./ Qc",Comedian/Comédienne,16794,28.3,,,Bloc
Quebec/Québec,Pierre-Boucher--Les Patriotes--Verchères,24014,Raphaël Fortin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Montréal, Que./ Qc",Banquet Waiter/Serveur de banquet,14454,24.3,,,Bloc
Quebec/Québec,Pierre-Boucher--Les Patriotes--Verchères,24014,Clovis Maheux Conservative/Conservateur,Conservative,"Boucherville, Que./ Qc",Retired/Retraité,6079,10.2,,,Bloc
Quebec/Québec,Pierre-Boucher--Les Patriotes--Verchères,24014,JiCi Lauzon Green Party/Parti Vert,Green,"Boucherville, Que./ Qc",Comedian/Comédien,5056,8.5,,,Bloc
Quebec/Québec,Pierrefonds--Dollard,24056,Frank Baylis Liberal/Libéral,Liberal,"Beaconsfield, Que./ Qc",Engineer/Ingénieur,34319,58.7,22625,38.7,Liberal
Quebec/Québec,Pierrefonds--Dollard,24056,Valérie Assouline Conservative/Conservateur,Conservative,"Dollard-Des Ormeaux, Que./ Qc",Lawyer/Avocate,11694,20,,,Liberal
Quebec/Québec,Pierrefonds--Dollard,24056,Lysane Blanchette-Lamothe ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Gatineau, Que./ Qc",Parliamentarian/Parlementaire,9584,16.4,,,Liberal
Quebec/Québec,Pierrefonds--Dollard,24056,Natalie Laplante Bloc Québécois/Bloc Québécois,Bloc,"Laval, Que./ Qc",Laboratory Technician/Technicienne de laboratoire,2043,3.5,,,Liberal
Quebec/Québec,Pierrefonds--Dollard,24056,Abraham Weizfeld Green Party/Parti Vert,Green,"Montréal, Que./ Qc",Writer/Écrivain,865,1.5,,,Liberal
Quebec/Québec,Pontiac,24057,William Amos Liberal/Libéral,Liberal,"Chelsea, Que./ Qc",Lawyer/Avocat,34154,54.5,20064,32.0,Liberal
Quebec/Québec,Pontiac,24057,Mathieu Ravignat ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Cantley, Que./ Qc",Parliamentarian/Parlementaire,14090,22.5,,,Liberal
Quebec/Québec,Pontiac,24057,Benjamin Woodman Conservative/Conservateur,Conservative,"Gatineau, Que./ Qc",Policy Advisor/Conseiller en politiques,8716,13.9,,,Liberal
Quebec/Québec,Pontiac,24057,Nicolas Lepage Bloc Québécois/Bloc Québécois,Bloc,"Gatineau, Que./ Qc",Student/Étudiant,4337,6.9,,,Liberal
Quebec/Québec,Pontiac,24057,Colin Griffiths Green Party/Parti Vert,Green,"Gatineau, Que./ Qc",Retired/Retraité,1089,1.7,,,Liberal
Quebec/Québec,Pontiac,24057,Pascal Médieu Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,,"Cantley, Que./ Qc",Senior International Development Officer/Agent principal de développement international,131,.2,,,Liberal
Quebec/Québec,Pontiac,24057,Louis Lang Marxist-Leninist/Marxiste-Léniniste,,"Gatineau, Que./ Qc",Retired/Retraité,108,.2,,,Liberal
Quebec/Québec,Portneuf--Jacques-Cartier,24058,Joël Godin Conservative/Conservateur,Conservative,"Saint-Augustin-de-Desmaures, Que./ Qc",Political Advisor/Conseiller politique,27290,44,13604,21.9,Conservative
Quebec/Québec,Portneuf--Jacques-Cartier,24058,Élaine Michaud ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Neuville, Que./ Qc",Parliamentarian/Parlementaire,13686,22.1,,,Conservative
Quebec/Québec,Portneuf--Jacques-Cartier,24058,David Gauvin Liberal/Libéral,Liberal,"Deschambault-Grondines, Que./ Qc",Engineer/Ingénieur,13322,21.5,,,Conservative
Quebec/Québec,Portneuf--Jacques-Cartier,24058,Raymond Harvey Bloc Québécois/Bloc Québécois,Bloc,"Sainte-Catherine-de-la-Jacques-Cartier, Que./ Qc",Manager/Gestionnaire,6665,10.7,,,Conservative
Quebec/Québec,Portneuf--Jacques-Cartier,24058,Johanne Morin Green Party/Parti Vert,Green,"Neuville, Que./ Qc",Student/Étudiante,1096,1.8,,,Conservative
Quebec/Québec,Québec,24059,Jean-Yves Duclos Liberal/Libéral,Liberal,"Québec, Que./ Qc",Professor/Professeur,15566,28.9,1000,1.9,Liberal
Quebec/Québec,Québec,24059,Annick Papillon ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Québec, Que./ Qc",Parliamentarian/Parlementaire,14566,27,,,Liberal
Quebec/Québec,Québec,24059,Pierre-Thomas Asselin Conservative/Conservateur,Conservative,"Québec, Que./ Qc",Political Attaché/Attaché politique,11737,21.8,,,Liberal
Quebec/Québec,Québec,24059,Charles Mordret Bloc Québécois/Bloc Québécois,Bloc,"Montréal, Que./ Qc",Businessman/Homme d'affaires,10153,18.8,,,Liberal
Quebec/Québec,Québec,24059,Philippe Riboty Green Party/Parti Vert,Green,"Lévis, Que./ Qc",Psychology Teacher/Enseignant en psychologie,1570,2.9,,,Liberal
Quebec/Québec,Québec,24059,Normand Fournier Marxist-Leninist/Marxiste-Léniniste,,"Montréal, Que./ Qc",Annuitant/Rentier,153,.3,,,Liberal
Quebec/Québec,Québec,24059,Danielle Provost Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,,"Québec, Que./ Qc",Artistic Painter/Artiste-peintre,122,.2,,,Liberal
Quebec/Québec,Repentigny,24060,Monique Pauzé Bloc Québécois/Bloc Québécois,Bloc,"Montréal, Que./ Qc",Retired/Retraitée,22618,34.7,4820,7.4,Bloc
Quebec/Québec,Repentigny,24060,Adriana Dudas Liberal/Libéral,Liberal,"Repentigny, Que./ Qc",Store Manager/Directrice de magasin,17798,27.3,,,Bloc
Quebec/Québec,Repentigny,24060,Réjean Bellemare NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Repentigny, Que./ Qc",Economist/Économiste,15167,23.3,,,Bloc
Quebec/Québec,Repentigny,24060,Jonathan Lefebvre Conservative/Conservateur,Conservative,"Gatineau, Que./ Qc",Federal Public Servant/Fonctionnaire fédéral,7053,10.8,,,Bloc
Quebec/Québec,Repentigny,24060,Johnathan Cloutier Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,,"Repentigny, Que./ Qc",Real Estate Agent/Courtier immobillier,1333,2,,,Bloc
Quebec/Québec,Repentigny,24060,Yoland Gilbert Green Party/Parti Vert,Green,"Repentigny, Que./ Qc",IT Consultant/Consultant en informatique,1242,1.9,,,Bloc
Quebec/Québec,Richmond--Arthabaska,24061,Alain Rayes Conservative/Conservateur,Conservative,"Victoriaville, Que./ Qc",Mayor/Maire,18505,31.6,4042,6.9,Conservative
Quebec/Québec,Richmond--Arthabaska,24061,Marc Desmarais Liberal/Libéral,Liberal,"Gatineau, Que./ Qc",Lobbyist/Lobbyiste,14463,24.7,,,Conservative
Quebec/Québec,Richmond--Arthabaska,24061,Myriam Beaulieu NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Melbourne, Que./ Qc",Farmer/Agricultrice,14213,24.2,,,Conservative
Quebec/Québec,Richmond--Arthabaska,24061,Olivier Nolin Bloc Québécois/Bloc Québécois,Bloc,"Victoriaville, Que./ Qc",Student/Étudiant,10068,17.2,,,Conservative
Quebec/Québec,Richmond--Arthabaska,24061,Laurier Busque Green Party/Parti Vert,Green,"Melbourne, Que./ Qc",Retired Professor/Professeur retraité,984,1.7,,,Conservative
Quebec/Québec,Richmond--Arthabaska,24061,Antoine Dubois Rhinoceros/Rhinocéros,,"Windsor, Que./ Qc",Teacher/Enseignant,384,.7,,,Conservative
Quebec/Québec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Guy Caron ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Rimouski, Que./ Qc",Ecomonist/Économiste,19374,43.1,6780,15.1,NDP
Quebec/Québec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Pierre Cadieux Liberal/Libéral,Liberal,"Rimouski, Que./ Qc",Professor/Professeur,12594,28,,,NDP
Quebec/Québec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Johanne Carignan Bloc Québécois/Bloc Québécois,Bloc,"Rimouski, Que./ Qc",Lecturer/Chargée de cours,8673,19.3,,,NDP
Quebec/Québec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Francis Fortin Conservative/Conservateur,Conservative,"Saint-Augustin-de-Desmaures, Que./ Qc",Project Manager/Gestionnaire de projet,3363,7.5,,,NDP
Quebec/Québec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Louise Boutin Green Party/Parti Vert,Green,"Vancouver, B.C./ C.-B.",Realtor/Courtier en immeubles,669,1.5,,,NDP
Quebec/Québec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Sébastien CôRhino Côrriveau Rhinoceros/Rhinocéros,,"Saint-Donat, Que./ Qc",Clarinetist/Clarinettiste,273,.6,,,NDP
Quebec/Québec,Rivière-des-Mille-Îles,24062,Linda Lapointe Liberal/Libéral,Liberal,"Boisbriand, Que./ Qc",Businesswoman/Femme d'affaires,18787,32.4,1676,2.9,Liberal
Quebec/Québec,Rivière-des-Mille-Îles,24062,Laurin Liu ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Saint-Eustache, Que./ Qc",Parliamentarian/Parlementaire,17111,29.5,,,Liberal
Quebec/Québec,Rivière-des-Mille-Îles,24062,Félix Pinel Bloc Québécois/Bloc Québécois,Bloc,"Saint-Eustache, Que./ Qc",Teacher/Enseignant,14755,25.4,,,Liberal
Quebec/Québec,Rivière-des-Mille-Îles,24062,Érick Gauthier Conservative/Conservateur,Conservative,"Saint-Eustache, Que./ Qc",Teacher/Enseignant,6099,10.5,,,Liberal
Quebec/Québec,Rivière-des-Mille-Îles,24062,Alec Ware Green Party/Parti Vert,Green,"Deux-Montagnes, Que./ Qc",Nurse/Infirmier,1136,2,,,Liberal
Quebec/Québec,Rivière-des-Mille-Îles,24062,Luis Quinteros Independent/Indépendant,,"Saint-Eustache, Que./ Qc",Annuitant/Rentier,158,.3,,,Liberal
Quebec/Québec,Rivière-du-Nord,24063,Rhéal Fortin Bloc Québécois/Bloc Québécois,Bloc,"Saint-Sauveur, Que./ Qc",Lawyer/Avocat,18157,32,1080,1.9,Bloc
Quebec/Québec,Rivière-du-Nord,24063,Pierre Dionne Labelle ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Saint-Jérôme, Que./ Qc",Parliamentarian/Parlementaire,17077,30.1,,,Bloc
Quebec/Québec,Rivière-du-Nord,24063,Janice Bélair Rolland Liberal/Libéral,Liberal,"Saint-Jérôme, Que./ Qc",Sales Director/Directeur des ventes,14933,26.4,,,Bloc
Quebec/Québec,Rivière-du-Nord,24063,Romain Vignol Conservative/Conservateur,Conservative,"Québec, Que./ Qc",Student/Étudiant,4793,8.5,,,Bloc
Quebec/Québec,Rivière-du-Nord,24063,Joey Leckman Green Party/Parti Vert,Green,"Prévost, Que./ Qc",Teacher/Professeur,1436,2.5,,,Bloc
Quebec/Québec,Rivière-du-Nord,24063,Fobozof A. Côté Rhinoceros/Rhinocéros,,"Saint-Colomban, Que./ Qc",Retired Architect/Architecte Retraité,261,.5,,,Bloc
Quebec/Québec,Rosemont--La Petite-Patrie,24064,Alexandre Boulerice ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Montréal, Que./ Qc",Parliamentarian/Parlementaire,28672,49.2,16389,28.1,NDP
Quebec/Québec,Rosemont--La Petite-Patrie,24064,Claude André Bloc Québécois/Bloc Québécois,Bloc,"Montréal, Que./ Qc",Journalist/Author/Journaliste-Auteur,12283,21.1,,,NDP
Quebec/Québec,Rosemont--La Petite-Patrie,24064,Nadine Medawar Liberal/Libéral,Liberal,"Montréal, Que./ Qc",Songwriter/Interpreter/Auteure-compositrice-interprète,12068,20.7,,,NDP
Quebec/Québec,Rosemont--La Petite-Patrie,24064,Jeremy Dohan Conservative/Conservateur,Conservative,"Outremont, Que./ Qc",Military Reservist/Réserviste militaire,2510,4.3,,,NDP
Quebec/Québec,Rosemont--La Petite-Patrie,24064,Sameer Muldeen Green Party/Parti Vert,Green,"Montréal, Que./ Qc",Manager/Gestionnaire,1783,3.1,,,NDP
Quebec/Québec,Rosemont--La Petite-Patrie,24064,Laurent Aglat Rhinoceros/Rhinocéros,,"Montréal, Que./ Qc",Composer/Compositeur,495,.8,,,NDP
Quebec/Québec,Rosemont--La Petite-Patrie,24064,Peter d'Entremont Libertarian/Libertarien,,"Montréal, Que./ Qc",Computer Analyst/Analyste en informatique,353,.6,,,NDP
Quebec/Québec,Rosemont--La Petite-Patrie,24064,Stéphane Chénier Marxist-Leninist/Marxiste-Léniniste,,"Montréal, Que./ Qc",Child-Care Services Educator /Éducateur service de garde,171,.3,,,NDP
Quebec/Québec,Saint-Hyacinthe--Bagot,24066,Brigitte Sansoucy NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Saint-Hyacinthe, Que./ Qc",Regional Development Consultant/Conseillère en développement régional,15578,28.7,598,1.1,NDP
Quebec/Québec,Saint-Hyacinthe--Bagot,24066,René Vincelette Liberal/Libéral,Liberal,"Saint-Hyacinthe, Que./ Qc",Human Resources Deputy Director/Vice-Directeur des ressources humaines,14980,27.6,,,NDP
Quebec/Québec,Saint-Hyacinthe--Bagot,24066,Michel Filion Bloc Québécois/Bloc Québécois,Bloc,"Saint-Hyacinthe, Que./ Qc",Public Administration Consultant/Consultant en gestion publique,13200,24.3,,,NDP
Quebec/Québec,Saint-Hyacinthe--Bagot,24066,Réjean Léveillé Conservative/Conservateur,Conservative,"Laval, Que./ Qc",Broadcaster/Communicateur,9098,16.7,,,NDP
Quebec/Québec,Saint-Hyacinthe--Bagot,24066,Lise Durand Green Party/Parti Vert,Green,"Varennes, Que./ Qc",Retired/Retraitée,1243,2.3,,,NDP
Quebec/Québec,Saint-Hyacinthe--Bagot,24066,Ugo Ménard Independent/Indépendant,,"Saint-Hyacinthe, Que./ Qc",Microbiologist/Microbiologiste,270,.5,,,NDP
Quebec/Québec,Saint-Jean,24067,Jean Rioux Liberal/Libéral,Liberal,"Saint-Jean-sur-Richelieu, Que./ Qc",Retired/Retraité,20022,33.2,2467,4.1,Liberal
Quebec/Québec,Saint-Jean,24067,Hans Marotte NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Saint-Mathias-sur-Richelieu, Que./ Qc",lawyer/Avocat,17555,29.1,,,Liberal
Quebec/Québec,Saint-Jean,24067,Denis Hurtubise Bloc Québécois/Bloc Québécois,Bloc,"Saint-Jean-sur-Richelieu, Que./ Qc",Programmer Analyst/Analyste-Programmeur,14979,24.8,,,Liberal
Quebec/Québec,Saint-Jean,24067,Stéphane Guinta Conservative/Conservateur,Conservative,"Candiac, Que./ Qc",Lawyer/Avocat,6549,10.8,,,Liberal
Quebec/Québec,Saint-Jean,24067,Marilyn Redivo Green Party/Parti Vert,Green,"North Saanich, B.C./ C.-B.",Self-employed/Travailleur indépendant,1281,2.1,,,Liberal
Quebec/Québec,Saint-Laurent,24068,Stéphane Dion ** Liberal/Libéral,Liberal,"Montréal, Que./ Qc",Parliamentarian/Parlementaire,24832,61.6,16965,42.1,Liberal
Quebec/Québec,Saint-Laurent,24068,Jimmy Yu Conservative/Conservateur,Conservative,"Saint-Laurent, Que./ Qc",Businessman/Homme d'affaires,7867,19.5,,,Liberal
Quebec/Québec,Saint-Laurent,24068,Alain Ackad NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Saint-Laurent, Que./ Qc",Engineer/Ingénieur,4646,11.5,,,Liberal
Quebec/Québec,Saint-Laurent,24068,Pascal-Olivier Dumas-Dubreuil Bloc Québécois/Bloc Québécois,Bloc,"Montréal, Que./ Qc",Student/Étudiant,1879,4.7,,,Liberal
Quebec/Québec,Saint-Laurent,24068,John Tromp Green Party/Parti Vert,Green,"Montréal, Que./ Qc",CEGEP Teacher/Professeur au CEGEP,977,2.4,,,Liberal
Quebec/Québec,Saint-Laurent,24068,Fernand Deschamps Marxist-Leninist/Marxiste-Léniniste,,"Montréal, Que./ Qc",Teacher/Enseignant,129,.3,,,Liberal
Quebec/Québec,Saint-Léonard--Saint-Michel,24069,Nicola Di Iorio Liberal/Libéral,Liberal,"Mont-Royal, Que./ Qc",Lawyer/Avocat,28826,64.7,22215,49.9,Liberal
Quebec/Québec,Saint-Léonard--Saint-Michel,24069,Rosannie Filato NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Saint-Léonard, Que./ Qc",Lawyer/Avocate,6611,14.8,,,Liberal
Quebec/Québec,Saint-Léonard--Saint-Michel,24069,Jean Philippe Fournier Conservative/Conservateur,Conservative,"Mont-Royal, Que./ Qc",Student/Étudiant,4957,11.1,,,Liberal
Quebec/Québec,Saint-Léonard--Saint-Michel,24069,Steeve Gendron Bloc Québécois/Bloc Québécois,Bloc,"Montréal, Que./ Qc",Chartered Professional Accountant/Comptable professionnel agréé,3204,7.2,,,Liberal
Quebec/Québec,Saint-Léonard--Saint-Michel,24069,Melissa Miscione Green Party/Parti Vert,Green,"Montréal, Que./ Qc",Interior designer/Designer d'intérieur,805,1.8,,,Liberal
Quebec/Québec,Saint-Léonard--Saint-Michel,24069,Arezki Malek Marxist-Leninist/Marxiste-Léniniste,,"Montréal, Que./ Qc",Retired/Retraité,128,.3,,,Liberal
Quebec/Québec,Saint-Maurice--Champlain,24070,François-Philippe Champagne Liberal/Libéral,Liberal,"Shawinigan, Que./ Qc",Businessman/Homme d'affaires,24475,41.5,12230,20.7,Liberal
Quebec/Québec,Saint-Maurice--Champlain,24070,Jean-Yves Tremblay NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Grand-Mère, Que./ Qc",Retired/Retraité,12245,20.8,,,Liberal
Quebec/Québec,Saint-Maurice--Champlain,24070,Sacki Carignan Deschamps Bloc Québécois/Bloc Québécois,Bloc,"Grand-Mère, Que./ Qc",Sociologist /Sociologue,11295,19.2,,,Liberal
Quebec/Québec,Saint-Maurice--Champlain,24070,Jacques Grenier Conservative/Conservateur,Conservative,"Grand-Mère, Que./ Qc",Life Insurance Investment Advisor/Conseiller placement assurance vie,9592,16.3,,,Liberal
Quebec/Québec,Saint-Maurice--Champlain,24070,Martial Toupin Green Party/Parti Vert,Green,"Saint-Maurice, Que./ Qc",Organic Farmer/Agriculteur biologique,1144,1.9,,,Liberal
Quebec/Québec,Saint-Maurice--Champlain,24070,Jean-Paul Bédard Marxist-Leninist/Marxiste-Léniniste,,"Sainte-Thècle, Que./ Qc",Retired/Retraité,196,.3,,,Liberal
Quebec/Québec,Salaberry--Suroît,24071,Anne Minh-Thu Quach ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Salaberry-de-Valleyfield, Que./ Qc",French Secondary School Teacher/Enseignante de français au secondaire,18726,30.4,771,1.3,NDP
Quebec/Québec,Salaberry--Suroît,24071,Robert Sauvé Liberal/Libéral,Liberal,"Coteau-du-Lac, Que./ Qc",Retired/Retraité,17955,29.2,,,NDP
Quebec/Québec,Salaberry--Suroît,24071,Claude DeBellefeuille Bloc Québécois/Bloc Québécois,Bloc,"Ormstown, Que./ Qc",Social Worker/Travailleuse sociale,17452,28.4,,,NDP
Quebec/Québec,Salaberry--Suroît,24071,Albert De Martin Conservative/Conservateur,Conservative,"Godmanchester, Que./ Qc",Farmer/Agriculteur,6132,10,,,NDP
Quebec/Québec,Salaberry--Suroît,24071,Nicola-Silverado Socrates Green Party/Parti Vert,Green,"West Kelowna, B.C./ C.-B.","Trailride Owner-Operator/Propriétaire-exploitant, entreprise de randonnée  ",867,1.4,,,NDP
Quebec/Québec,Salaberry--Suroît,24071,Sylvain Larocque Independent/Indépendant,,"Salaberry-de-Valleyfield, Que./ Qc",Electronic Technician/Technicien en électronique,219,.4,,,NDP
Quebec/Québec,Salaberry--Suroît,24071,Patricia Domingos Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,,"Sainte-Justine-de-Newton, Que./ Qc",Financial Controller/Contrôleuse financière,184,.3,,,NDP
